year,cars,pop18plus
2017,871,1172
2018,860,1171
2019,875,1164
2020,883,1167
2010,478,931
2011,487,949
2012,482,921
2013,480,893
2014,517,909
2015,531,924
2016,528,923
2017,530,933
2018,524,926
2019,534,896
2020,528,895
2010,888,1004
2011,913,1019
2012,890,993
2013,923,1013
2014,875,1006
2015,892,1009
2016,914,999
2017,900,994
2018,892,1035
2019,881,1023
2020,870,1022
2010,728,1142
2011,743,1171
2012,717,1175
2013,746,1152
2014,765,1168
2015,749,1173
2016,765,1175
2017,756,1188
2018,769,1171
2019,792,1176
2020,791,1175
2010,839,1245
2011,827,1229
2012,827,1223
2013,832,1183
2014,842,1174
2015,843,1187
2016,870,1185
2017,896,1155
2018,873,1157
2019,850,1168
2020,856,1169
2010,1018,1443
2011,1053,1427
2012,1047,1442
2013,1061,1468
2014,1061,1467
2015,1072,1460
2016,1085,1459
2017,1089,1475
2018,1039,1450
2019,1052,1416
2020,1033,1428
2010,677,1181
2011,689,1191
2012,713,1211
2013,695,1202
2014,737,1198
2015,753,1229
2016,739,1199
2017,776,1194
2018,795,1232
2019,828,1234
2020,832,1235
2010,880,1204
2011,853,1198
2012,873,1202
2013,867,1191
2014,885,1268
2015,918,1294
2016,907,1273
2017,890,1279
2018,883,1267
2019,890,1263
2020,895,1268
2010,827,1097
2011,846,1137
2012,855,1133
2013,834,1112
2014,864,1112
2015,873,1089
2016,871,1046
2017,866,1029
2018,875,1052
2019,881,1031
2020,873,1028
2010,864,1585
2011,874,1673
2012,889,1702
2013,925,1708
2014,983,1722
2015,1015,1793
2016,1073,1849
2017,1132,1956
2018,1168,1987
2019,1242,2045
2020,1205,2051
2010,715,1120
2011,714,1101
2012,722,1122
2013,722,1117
2014,720,1123
2015,740,1129
2016,752,1128
2017,764,1118
2018,753,1081
2019,747,1067
2020,732,1067
2010,662,1021
2011,685,1057
2012,701,1082
2013,715,1032
2014,742,1040
2015,762,1037
2016,747,1030
2017,754,1063
2018,770,1024
2019,773,999
2020,765,1003
2010,534,1090
2011,539,1080
2012,554,1074
2013,565,1081
2014,578,1113
2015,585,1101
2016,586,1093
2017,580,1106
2018,583,1093
2019,589,1065
2020,601,1064
2010,781,1415
2011,774,1412
2012,783,1430
2013,777,1440
2014,787,1399
2015,778,1413
2016,798,1374
2017,806,1390
2018,807,1373
2019,800,1336
2020,800,1332
2010,1161,1765
2011,1175,1773
2012,1194,1783
2013,1171,1773
2014,1197,1798
2015,1189,1823
2016,1218,1795
2017,1237,1806
2018,1202,1797
2019,1249,1780
2020,1230,1790
2010,754,1230
2011,745,1279
2012,774,1250
2013,776,1257
2014,781,1256
2015,806,1208
2016,848,1217
2017,844,1231
2018,867,1213
2019,869,1252
2020,859,1256
2010,506,1060
2011,509,1080
2012,520,1074
2013,517,1080
2014,529,1074
2015,557,1070
2016,599,1085
2017,604,1064
2018,577,1044
2019,585,1046
2020,562,1041
2010,770,964
2011,780,975
2012,771,930
2013,781,945
2014,785,944
2015,773,959
2016,756,935
2017,746,922
2018,757,910
2019,771,943
2020,741,944
2010,1003,1356
2011,1001,1342
2012,1008,1334
2013,990,1335
2014,999,1316
2015,1046,1303
2016,1031,1292
2017,1050,1307
2018,1034,1301
2019,1056,1299
2020,1065,1307
2010,1040,1230
2011,1022,1236
2012,1056,1231
2013,1060,1248
2014,1085,1261
2015,1081,1285
2016,1107,1280
2017,1156,1269
2018,1138,1261
2019,1192,1270
2020,1178,1273
2010,1061,1348
2011,1071,1342
2012,1070,1343
2013,1081,1332
2014,1079,1347
2015,1062,1362
2016,1072,1366
2017,1061,1345
2018,1065,1342
2019,1070,1336
2020,1056,1354
2010,819,1190
2011,807,1163
2012,805,1186
2013,812,1232
2014,849,1240
2015,836,1214
2016,833,1216
2017,829,1182
2018,849,1168
2019,850,1173
2020,852,1175
2010,813,1096
2011,814,1079
2012,821,1084
2013,818,1077
2014,863,1079
2015,861,1085
2016,879,1100
2017,859,1078
2018,866,1068
2019,862,1062
2020,836,1059
2010,855,1060
2011,842,1053
2012,840,1074
2013,834,1051
2014,842,1052
2015,850,1054
2016,838,1045
2017,817,1031
2018,819,1016
2019,824,1019
2020,819,1021
2010,742,1198
2011,750,1230
2012,777,1219
2013,788,1211
2014,808,1246
2015,816,1261
2016,803,1228
2017,792,1224
2018,804,1239
2019,828,1237
2020,805,1238
2010,1180,1341
2011,1065,1364
2012,1135,1334
2013,1113,1359
2014,1066,1390
2015,1099,1399
2016,1281,1406
2017,1342,1400
2018,1474,1401
2019,1471,1358
2020,1296,1357
2010,1080,1551
2011,1112,1558
2012,1150,1534
2013,1131,1555
2014,1164,1558
2015,1193,1584
2016,1219,1584
2017,1208,1594
2018,1149,1598
2019,1132,1606
2020,1132,1611
2010,802,1496
2011,782,1487
2012,781,1477
2013,802,1477
2014,814,1476
2015,841,1466
2016,855,1437
2017,883,1480
2018,899,1493
2019,908,1515
2020,926,1515
2010,766,1453
2011,741,1452
2012,778,1441
2013,809,1463
2014,806,1434
2015,827,1435
2016,863,1452
2017,888,1513
2018,888,1550
2019,889,1549
2020,862,1553
2010,938,1423
2011,987,1429
2012,984,1441
2013,980,1428
